High velocity
1 planets at:
0 500
Trajectory:
52.2303 1.21097
52.2776 1.21317
52.3249 1.21537
52.3722 1.21757
52.4195 1.21977
52.4669 1.22197
52.5142 1.22418
52.5615 1.22638
52.6088 1.22859
52.6561 1.2308
52.7034 1.23302
52.7508 1.23523
52.7981 1.23745
52.8454 1.23967
52.8927 1.24189
52.94 1.24411
52.9873 1.24634
53.0347 1.24857
53.082 1.2508
53.1293 1.25303
53.1766 1.25526
53.2239 1.2575
53.2712 1.25973
53.3186 1.26197
53.3659 1.26421
53.4132 1.26646
53.4605 1.2687
53.5078 1.27095
53.5551 1.2732
53.6024 1.27545
53.6497 1.2777
53.6971 1.27996
53.7444 1.28221
53.7917 1.28447
53.839 1.28673
53.8863 1.28899
53.9336 1.29126
53.9809 1.29353
54.0283 1.29579
54.0756 1.29806
54.1229 1.30034
54.1702 1.30261
54.2175 1.30489
54.2648 1.30717
54.3121 1.30945
54.3594 1.31173
54.4067 1.31401
54.454 1.3163
54.5014 1.31859
54.5487 1.32088
54.596 1.32317
54.6433 1.32547
54.6906 1.32776
54.7379 1.33006
54.7852 1.33236
54.8325 1.33466
54.8798 1.33697
54.9271 1.33927
54.9744 1.34158
55.0217 1.34389
55.0691 1.3462
55.1164 1.34852
55.1637 1.35084
55.211 1.35315
55.2583 1.35547
55.3056 1.3578
55.3529 1.36012
55.4002 1.36244
55.4475 1.36477
55.4948 1.3671
55.5421 1.36943
55.5894 1.37177
55.6367 1.3741
55.684 1.37644
55.7313 1.37878
55.7786 1.38112
55.8259 1.38347
55.8732 1.38581
55.9205 1.38816
55.9678 1.39051
56.0151 1.39286
56.0624 1.39522
56.1097 1.39757
56.1571 1.39993
56.2044 1.40229
56.2517 1.40465
56.299 1.40701
56.3463 1.40938
56.3936 1.41175
56.4409 1.41412
56.4882 1.41649
56.5355 1.41886
56.5828 1.42124
56.6301 1.42361
56.6774 1.42599
56.7247 1.42837
56.772 1.43076
56.8193 1.43314
56.8666 1.43553
56.9138 1.43792
56.9611 1.44031
57.0084 1.4427
57.0557 1.4451
57.103 1.44749
57.1503 1.44989
57.1976 1.45229
57.2449 1.4547
57.2922 1.4571
57.3395 1.45951
57.3868 1.46192
57.4341 1.46433
57.4814 1.46674
57.5287 1.46916
57.576 1.47157
57.6233 1.47399
57.6706 1.47641
57.7179 1.47883
57.7652 1.48126
57.8125 1.48369
57.8598 1.48611
57.9071 1.48854
57.9544 1.49098
58.0017 1.49341
58.0489 1.49585
58.0962 1.49829
58.1435 1.50073
58.1908 1.50317
58.2381 1.50561
58.2854 1.50806
58.3327 1.51051
58.38 1.51296
58.4273 1.51541
58.4746 1.51786
58.5219 1.52032
58.5691 1.52278
58.6164 1.52524
58.6637 1.5277
58.711 1.53017
58.7583 1.53263
58.8056 1.5351
58.8529 1.53757
58.9002 1.54004
58.9475 1.54251
58.9948 1.54499
59.042 1.54747
59.0893 1.54995
59.1366 1.55243
59.1839 1.55491
59.2312 1.5574
59.2785 1.55989
59.3258 1.56238
59.373 1.56487
59.4203 1.56736
59.4676 1.56986
59.5149 1.57236
59.5622 1.57485
59.6095 1.57736
59.6568 1.57986
59.704 1.58237
59.7513 1.58487
59.7986 1.58738
59.8459 1.58989
59.8932 1.59241
59.9405 1.59492
59.9877 1.59744
60.035 1.59996
60.0823 1.60248
60.1296 1.605
60.1769 1.60753
60.2242 1.61006
60.2714 1.61258
60.3187 1.61512
60.366 1.61765
60.4133 1.62018
60.4606 1.62272
60.5079 1.62526
60.5551 1.6278
60.6024 1.63034
60.6497 1.63289
60.697 1.63543
60.7442 1.63798
60.7915 1.64053
60.8388 1.64309
60.8861 1.64564
60.9334 1.6482
60.9806 1.65076
61.0279 1.65332
61.0752 1.65588
61.1225 1.65844
61.1698 1.66101
61.217 1.66358
61.2643 1.66615
61.3116 1.66872
61.3589 1.6713
61.4061 1.67387
61.4534 1.67645
61.5007 1.67903
61.548 1.68161
61.5952 1.6842
61.6425 1.68678
61.6898 1.68937
61.7371 1.69196
61.7843 1.69455
61.8316 1.69715
61.8789 1.69974
61.9262 1.70234
61.9734 1.70494
62.0207 1.70754
62.068 1.71015
62.1152 1.71275
62.1625 1.71536
62.2098 1.71797
62.2571 1.72058
62.3043 1.7232
62.3516 1.72581
62.3989 1.72843
62.4462 1.73105
62.4934 1.73367
62.5407 1.73629
62.588 1.73892
62.6352 1.74155
62.6825 1.74418
62.7298 1.74681
62.777 1.74944
62.8243 1.75208
62.8716 1.75471
62.9188 1.75735
62.9661 1.75999
63.0134 1.76264
63.0606 1.76528
63.1079 1.76793
63.1552 1.77058
63.2024 1.77323
63.2497 1.77588
63.297 1.77854
63.3442 1.7812
63.3915 1.78385
63.4388 1.78651
63.486 1.78918
63.5333 1.79184
63.5806 1.79451
63.6278 1.79718
63.6751 1.79985
63.7224 1.80252
63.7696 1.8052
63.8169 1.80787
63.8642 1.81055
63.9114 1.81323
63.9587 1.81591
64.0059 1.8186
64.0532 1.82129
64.1005 1.82397
64.1477 1.82666
64.195 1.82936
64.2423 1.83205
64.2895 1.83475
64.3368 1.83745
64.3841 1.84015
64.4313 1.84285
64.4786 1.84555
64.5258 1.84826
64.5731 1.85097
64.6203 1.85368
64.6676 1.85639
64.7149 1.8591
64.7621 1.86182
64.8094 1.86454
64.8566 1.86726
64.9039 1.86998
64.9511 1.8727
64.9984 1.87543
65.0456 1.87816
